Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,1,1,Sales Representative,1,Single,1739.2,9150,1,Y,Yes,11,3,3,80,0,3,3,2,1,2,1,2
42,1,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,3,Male,92,1,1,Laboratory Technician,2,Single,1672.0,2396,6,Y,Yes,15,3,2,80,0,7,3,2,0,0,0,0
50,1,Travel_Rarely,725,Research & Development,2,3,Medical,1,787,3,Male,78,2,5,Manager,1,Married,15887.2,21199,5,Y,Yes,13,3,4,80,1,24,2,2,3,2,1,4
45,1,Travel_Frequently,878,Sales,1,4,Life Sciences,1,2044,1,Male,94,2,2,Sales Executive,2,Divorced,5382.400000000001,14255,7,Y,No,12,3,4,80,2,12,3,2,4,3,0,1
35,1,Travel_Rarely,299,Sales,25,4,Marketing,1,1318,3,Male,57,1,3,Sales Executive,1,Single,7275.200000000001,17235,2,Y,Yes,12,3,3,80,0,9,2,2,3,4,1,0
38,1,Travel_Rarely,813,Research & Development,14,3,Medical,1,325,2,Male,58,2,1,Laboratory Technician,3,Married,1948.8,22149,5,Y,Yes,13,3,3,80,1,8,2,1,3,4,0,4
39,1,Travel_Rarely,1376,Human Resources,1,2,Medical,1,1098,1,Male,91,1,3,Human Resources,1,Married,8385.6,2326,9,Y,No,14,3,4,80,1,24,1,2,18,6,3,6
40,1,Travel_Rarely,737,Sales,10,3,Medical,1,1639,3,Male,55,1,3,Sales Executive,1,Married,8244.800000000001,21530,9,Y,No,17,3,3,80,0,15,3,2,11,12,6,0
48,1,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,1572,2,Female,78,1,3,Manufacturing Director,3,Married,8135.200000000001,14618,0,Y,No,16,3,2,80,1,34,4,2,31,7,1,9
36,1,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,1,Male,76,1,2,Sales Executive,2,Married,4937.6,20739,4,Y,Yes,18,3,2,80,0,12,3,1,5,7,7,7
39,1,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,1333,1,Male,89,2,1,Laboratory Technician,1,Married,1889.6,14669,4,Y,No,12,3,3,80,0,10,4,3,1,2,1,2
35,1,Travel_Frequently,600,Human Resources,8,3,Human Resources,1,1747,2,Female,66,1,1,Human Resources,3,Divorced,1744.0,9732,6,Y,No,11,3,3,80,1,6,0,1,2,2,1,2
39,1,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,Male,67,3,2,Sales Executive,3,Single,4243.2,4652,8,Y,Yes,13,3,2,80,0,9,3,1,3,2,0,4
53,1,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,3,Female,94,2,3,Healthcare Representative,3,Married,8249.6,3465,1,Y,No,12,3,4,80,1,40,3,1,38,10,15,6
45,1,Travel_Frequently,878,Sales,1,4,Life Sciences,1,2044,1,Male,94,2,2,Sales Executive,2,Divorced,5382.400000000001,14255,7,Y,No,12,3,4,80,2,12,3,2,4,3,0,1
31,1,Travel_Rarely,1146,Sales,8,3,Technical Degree,1,796,3,Male,38,1,2,Sales Executive,1,Single,4260.8,3064,6,Y,No,17,3,3,80,0,6,2,1,2,3,1,2
47,1,Travel_Rarely,723,Research & Development,8,4,Medical,1,433,2,Male,85,1,2,Research Scientist,1,Married,3952.8,17747,2,Y,No,15,3,1,80,0,11,3,1,6,2,7,7
37,1,Travel_Rarely,414,Sales,2,4,Marketing,1,1862,2,Male,82,1,2,Sales Executive,1,Single,7925.6,26186,7,Y,Yes,12,3,3,80,0,7,3,1,0,2,2,2
31,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,2,Male,73,2,1,Research Scientist,1,Single,2481.6000000000004,6582,0,Y,No,22,4,3,80,0,7,2,2,4,4,0,4
36,1,Travel_Frequently,667,Sales,1,4,Life Sciences,1,1427,1,Female,50,1,1,Sales Representative,2,Single,1087.2,16154,1,Y,No,12,3,2,80,0,1,3,2,0,0,0,0
34,1,Travel_Frequently,459,Research & Development,24,2,Life Sciences,1,1868,3,Male,73,1,1,Research Scientist,3,Single,1951.2,14753,1,Y,Yes,24,4,2,80,0,1,3,1,0,0,1,0
48,1,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,1572,2,Female,78,1,3,Manufacturing Director,3,Married,8135.200000000001,14618,0,Y,No,16,3,2,80,1,34,4,2,31,7,1,9
38,1,Travel_Frequently,807,Research & Development,17,3,Technical Degree,1,1767,2,Male,38,1,1,Research Scientist,2,Married,1949.6,15587,9,Y,Yes,16,3,4,80,1,6,4,2,0,0,0,0
41,1,Travel_Rarely,669,Sales,9,2,Medical,1,118,2,Male,64,1,3,Sales Executive,3,Single,7695.200000000001,13596,1,Y,No,16,3,4,80,0,9,3,2,7,8,4,7
33,1,Travel_Rarely,329,Research & Development,24,3,Medical,1,1604,2,Male,51,2,1,Laboratory Technician,1,Married,1926.4,7324,1,Y,Yes,17,3,3,80,3,1,3,2,0,1,0,0
33,1,Travel_Rarely,329,Research & Development,24,3,Medical,1,1604,2,Male,51,2,1,Laboratory Technician,1,Married,1926.4,7324,1,Y,Yes,17,3,3,80,3,1,3,2,0,1,0,0
36,1,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,1459,2,Female,100,3,3,Manufacturing Director,1,Single,5956.8,8931,1,Y,No,11,3,1,80,0,10,2,2,8,8,4,7
33,1,Travel_Rarely,329,Research & Development,24,3,Medical,1,1604,2,Male,51,2,1,Laboratory Technician,1,Married,1926.4,7324,1,Y,Yes,17,3,3,80,3,1,3,2,0,1,0,0
44,1,Travel_Rarely,1162,Sales,3,2,Medical,1,445,3,Female,41,2,2,Sales Executive,2,Married,4190.400000000001,17778,4,Y,Yes,18,3,1,80,0,12,3,1,0,0,0,0
24,1,Travel_Rarely,419,Sales,21,3,Other,1,959,3,Male,37,1,1,Sales Representative,1,Single,1696.8000000000002,9947,1,Y,Yes,13,3,2,80,0,1,3,3,0,0,0,0
36,1,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,56,2,2,Sales Executive,1,Single,7484.0,9558,1,Y,No,18,3,3,80,0,8,5,2,6,7,7,7
34,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,2,Female,71,1,1,Research Scientist,1,Married,2036.8,18300,5,Y,No,16,3,2,80,0,6,2,3,0,2,1,1
40,1,Travel_Rarely,1204,Sales,4,3,Technical Degree,1,1100,3,Male,86,2,3,Sales Executive,1,Single,7665.6,10333,0,Y,Yes,22,4,1,80,0,9,2,2,6,7,4,7
32,1,Travel_Frequently,1337,Human Resources,22,3,Human Resources,1,1944,1,Female,58,1,1,Human Resources,1,Married,2290.4,19555,1,Y,No,12,3,1,80,0,1,2,2,0,0,0,0
44,1,Travel_Rarely,1162,Sales,3,2,Medical,1,445,3,Female,41,2,2,Sales Executive,2,Married,4190.400000000001,17778,4,Y,Yes,18,3,1,80,0,12,3,1,0,0,0,0
38,1,Travel_Rarely,1017,Research & Development,25,3,Medical,1,1108,1,Male,55,1,1,Research Scientist,1,Single,1850.4,2993,4,Y,Yes,20,4,2,80,0,5,0,2,0,2,2,2
36,1,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,1,Male,76,1,2,Sales Executive,2,Married,4937.6,20739,4,Y,Yes,18,3,2,80,0,12,3,1,5,7,7,7
31,1,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,622,2,Male,66,1,1,Laboratory Technician,3,Single,1872.0,23213,1,Y,Yes,18,3,2,80,0,1,3,1,0,0,0,0
32,1,Travel_Rarely,135,Research & Development,17,4,Life Sciences,1,1405,3,Female,51,2,1,Research Scientist,2,Single,1915.2,25681,1,Y,Yes,13,3,4,80,0,8,2,2,6,2,7,7
30,1,Travel_Rarely,240,Sales,5,3,Marketing,1,142,2,Male,46,1,2,Sales Executive,2,Single,4595.2,26959,1,Y,Yes,11,3,4,80,0,6,1,2,4,4,0,3
38,1,Travel_Frequently,827,Research & Development,29,4,Medical,1,1101,1,Female,54,1,2,Research Scientist,2,Single,3606.4,3129,1,Y,No,22,4,2,80,0,14,4,2,11,7,3,8
31,1,Travel_Rarely,1146,Sales,8,3,Technical Degree,1,796,3,Male,38,1,2,Sales Executive,1,Single,4260.8,3064,6,Y,No,17,3,3,80,0,6,2,1,2,3,1,2
35,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,2,Male,40,2,1,Research Scientist,3,Single,1828.0,3427,9,Y,Yes,23,4,3,80,0,3,4,2,0,0,0,0
41,1,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,3,Male,79,1,1,Research Scientist,2,Married,2710.4,21777,0,Y,Yes,17,3,1,80,1,2,0,1,0,0,0,0
45,1,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,1,1,Sales Representative,2,Married,2146.4,3810,1,Y,Yes,14,3,3,80,0,3,2,2,1,2,0,2
28,1,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,1,811,2,Male,63,3,1,Laboratory Technician,1,Married,1280.8000000000002,3445,1,Y,Yes,21,4,3,80,2,1,2,2,0,0,0,0
26,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,1,1,Sales Representative,1,Single,1739.2,9150,1,Y,Yes,11,3,3,80,0,3,3,2,1,2,1,2
39,1,Travel_Rarely,1376,Human Resources,1,2,Medical,1,1098,1,Male,91,1,3,Human Resources,1,Married,8385.6,2326,9,Y,No,14,3,4,80,1,24,1,2,18,6,3,6
33,1,Travel_Rarely,654,Research & Development,1,2,Life Sciences,1,741,1,Female,67,1,1,Research Scientist,1,Single,1772.8000000000002,3872,7,Y,Yes,13,3,4,80,0,10,4,2,5,7,3,7
38,1,Travel_Rarely,118,Sales,16,3,Marketing,1,819,1,Female,69,2,2,Sales Executive,1,Single,4259.2,26507,5,Y,No,15,3,3,80,0,6,3,2,1,2,0,2
42,1,Travel_Rarely,625,Sales,1,4,Life Sciences,1,970,1,Male,46,1,3,Sales Executive,2,Married,8487.2,14922,5,Y,No,11,3,3,80,0,17,2,1,12,1,11,7
48,1,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,1572,2,Female,78,1,3,Manufacturing Director,3,Married,8135.200000000001,14618,0,Y,No,16,3,2,80,1,34,4,2,31,7,1,9
28,1,Travel_Rarely,427,Sales,7,3,Life Sciences,1,1702,2,Male,99,2,1,Sales Representative,3,Divorced,1820.0,25103,1,Y,Yes,21,4,2,80,1,3,2,2,1,2,0,2
30,1,Travel_Rarely,383,Sales,9,2,Life Sciences,1,1439,1,Male,68,1,1,Sales Representative,1,Married,3520.0,15182,3,Y,No,12,3,1,80,0,6,2,2,1,2,2,2
29,1,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,1,Male,61,2,1,Research Scientist,3,Married,1834.4,3020,2,Y,Yes,16,3,1,80,1,6,2,1,0,0,2,0
36,1,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,1459,2,Female,100,3,3,Manufacturing Director,1,Single,5956.8,8931,1,Y,No,11,3,1,80,0,10,2,2,8,8,4,7
35,1,Travel_Frequently,334,Sales,26,4,Marketing,1,299,2,Female,52,1,2,Sales Executive,1,Single,5356.8,22967,5,Y,No,15,3,3,80,0,9,5,1,4,3,0,1
38,1,Travel_Rarely,211,Sales,16,3,Life Sciences,1,1758,1,Female,74,2,3,Sales Executive,1,Single,6851.200000000001,10092,2,Y,Yes,20,4,3,80,0,11,2,1,0,0,0,0
38,1,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,702,1,Male,70,2,1,Research Scientist,1,Single,2678.4,3164,1,Y,Yes,11,3,1,80,0,10,3,2,8,8,9,7
36,1,Travel_Frequently,703,Sales,2,3,Life Sciences,1,1379,2,Female,90,1,1,Sales Representative,3,Single,2228.0,11882,7,Y,No,14,3,3,80,0,3,3,3,0,0,0,0
33,1,Travel_Rarely,1157,Research & Development,2,4,Medical,1,440,1,Male,84,1,1,Research Scientist,3,Married,2771.2000000000003,24737,5,Y,Yes,13,3,4,80,0,5,4,1,1,2,2,2
27,1,Travel_Rarely,617,Research & Development,3,1,Life Sciences,1,926,1,Female,34,2,2,Manufacturing Director,2,Married,3336.8,10022,0,Y,Yes,19,3,1,80,1,4,3,3,1,2,0,2
38,1,Travel_Frequently,827,Research & Development,29,4,Medical,1,1101,1,Female,54,1,2,Research Scientist,2,Single,3606.4,3129,1,Y,No,22,4,2,80,0,14,4,2,11,7,3,8
42,1,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,3,Male,92,1,1,Laboratory Technician,2,Single,1672.0,2396,6,Y,Yes,15,3,2,80,0,7,3,2,0,0,0,0
31,1,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1107,1,Male,37,2,1,Laboratory Technician,2,Divorced,1901.6,19373,1,Y,No,20,4,3,80,1,1,0,1,0,1,0,0
38,1,Travel_Rarely,350,Sales,5,3,Marketing,1,485,3,Female,34,2,1,Sales Representative,2,Single,2280.8,9150,1,Y,Yes,13,3,2,80,0,1,2,2,0,0,0,0
44,1,Travel_Rarely,1122,Research & Development,6,3,Medical,1,932,3,Male,70,2,1,Laboratory Technician,1,Married,1923.2,4303,7,Y,Yes,21,4,4,80,0,8,2,1,0,2,2,2
41,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,2,Male,82,1,1,Sales Representative,1,Single,2725.6000000000004,6986,7,Y,No,23,4,2,80,0,10,4,2,3,3,0,3
38,1,Travel_Rarely,350,Sales,5,3,Marketing,1,485,3,Female,34,2,1,Sales Representative,2,Single,2280.8,9150,1,Y,Yes,13,3,2,80,0,1,2,2,0,0,0,0
41,1,Travel_Rarely,1254,Sales,10,3,Life Sciences,1,1869,2,Female,64,2,3,Sales Executive,1,Married,5851.200000000001,14011,5,Y,No,21,4,3,80,3,14,2,2,6,7,0,7
23,1,Travel_Frequently,544,Sales,3,2,Medical,1,1624,1,Female,70,2,1,Sales Representative,3,Single,1255.2,18420,1,Y,Yes,12,3,3,80,0,0,2,3,0,0,0,0
39,1,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,1,1200,2,Male,96,2,1,Research Scientist,2,Single,2348.8,10826,1,Y,Yes,11,3,3,80,0,6,4,2,4,4,0,2
34,1,Travel_Rarely,350,Human Resources,13,3,Human Resources,1,1844,1,Male,56,1,1,Human Resources,1,Divorced,1868.0,3157,4,Y,Yes,15,3,4,80,3,4,3,2,0,2,2,0
42,1,Non-Travel,666,Research & Development,29,4,Life Sciences,1,376,1,Male,88,2,3,Manager,1,Married,9479.2,10268,1,Y,Yes,12,3,4,80,1,10,2,1,8,7,9,9
53,1,Travel_Rarely,601,Research & Development,7,4,Medical,1,1360,2,Female,53,1,3,Manufacturing Director,1,Married,8006.400000000001,12023,7,Y,Yes,14,3,4,80,0,31,0,1,8,9,5,9
41,1,Travel_Rarely,1456,Sales,13,5,Marketing,1,1733,1,Male,96,1,2,Sales Executive,1,Divorced,4907.2,8658,5,Y,Yes,13,3,2,80,3,16,3,2,0,2,2,2
33,1,Travel_Rarely,329,Research & Development,24,3,Medical,1,1604,2,Male,51,2,1,Laboratory Technician,1,Married,1926.4,7324,1,Y,Yes,17,3,3,80,3,1,3,2,0,1,0,0
37,1,Travel_Frequently,238,Research & Development,5,2,Life Sciences,1,1939,1,Female,47,3,1,Research Scientist,2,Single,1945.6,15318,3,Y,Yes,14,3,1,80,0,8,2,2,2,1,0,3
41,1,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,3,Male,79,1,1,Research Scientist,2,Married,2710.4,21777,0,Y,Yes,17,3,1,80,1,2,0,1,0,0,0,0
44,1,Travel_Rarely,1184,Sales,11,3,Marketing,1,840,2,Female,43,2,3,Sales Executive,3,Married,6123.200000000001,5860,1,Y,No,18,3,1,80,2,9,3,3,7,8,7,7
23,1,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,2,Male,54,2,1,Laboratory Technician,2,Single,1136.0,25233,1,Y,No,13,3,3,80,0,0,2,2,0,0,0,0
41,1,Travel_Rarely,669,Sales,9,2,Medical,1,118,2,Male,64,1,3,Sales Executive,3,Single,7695.200000000001,13596,1,Y,No,16,3,4,80,0,9,3,2,7,8,4,7
29,1,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,3,Male,58,1,1,Human Resources,2,Married,1244.0,11585,1,Y,No,11,3,3,80,1,1,2,2,0,0,0,0
38,1,Travel_Rarely,211,Sales,16,3,Life Sciences,1,1758,1,Female,74,2,3,Sales Executive,1,Single,6851.200000000001,10092,2,Y,Yes,20,4,3,80,0,11,2,1,0,0,0,0
31,1,Travel_Rarely,920,Human Resources,20,2,Medical,1,1818,3,Female,69,2,1,Human Resources,1,Married,1718.4,6889,0,Y,Yes,11,3,3,80,0,6,3,2,3,1,1,4
33,1,Travel_Rarely,329,Research & Development,24,3,Medical,1,1604,2,Male,51,2,1,Laboratory Technician,1,Married,1926.4,7324,1,Y,Yes,17,3,3,80,3,1,3,2,0,1,0,0
37,1,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,331,3,Male,62,1,1,Laboratory Technician,2,Single,2984.0,9571,0,Y,Yes,14,3,4,80,0,4,2,1,1,2,1,2
39,1,Travel_Frequently,234,Research & Development,9,4,Life Sciences,1,1807,3,Male,93,2,2,Laboratory Technician,1,Married,4276.8,6208,4,Y,No,17,3,3,80,1,11,3,1,5,1,0,7
38,1,Travel_Frequently,807,Research & Development,17,3,Technical Degree,1,1767,2,Male,38,1,1,Research Scientist,2,Married,1949.6,15587,9,Y,Yes,16,3,4,80,1,6,4,2,0,0,0,0
45,1,Travel_Rarely,410,Sales,28,3,Marketing,1,2055,3,Male,39,1,3,Sales Executive,1,Divorced,8683.2,16586,4,Y,Yes,13,3,2,80,1,20,3,2,1,2,2,0
29,1,Travel_Rarely,693,Sales,3,2,Life Sciences,1,720,1,Female,65,2,2,Sales Executive,2,Single,3661.6,24785,9,Y,No,14,3,1,80,0,4,3,2,0,2,2,0
42,1,Travel_Rarely,625,Sales,1,4,Life Sciences,1,970,1,Male,46,1,3,Sales Executive,2,Married,8487.2,14922,5,Y,No,11,3,3,80,0,17,2,1,12,1,11,7
26,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,1,1,Sales Representative,1,Single,1739.2,9150,1,Y,Yes,11,3,3,80,0,3,3,2,1,2,1,2
36,1,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,1,Female,71,1,2,Sales Executive,2,Married,3647.2,24788,3,Y,Yes,11,3,3,80,1,4,2,2,0,2,2,2
39,1,Travel_Rarely,621,Research & Development,15,3,Medical,1,1295,1,Female,73,2,3,Healthcare Representative,3,Married,6382.400000000001,14075,1,Y,No,11,3,4,80,1,10,2,2,8,7,0,5
36,1,Travel_Rarely,359,Human Resources,18,5,Human Resources,1,1842,3,Male,89,3,1,Human Resources,1,Married,2364.8,21495,0,Y,No,17,3,3,80,0,2,4,2,0,0,0,0
48,1,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,1572,2,Female,78,1,3,Manufacturing Director,3,Married,8135.200000000001,14618,0,Y,No,16,3,2,80,1,34,4,2,31,7,1,9
41,1,Travel_Rarely,660,Research & Development,15,3,Other,1,1052,1,Male,81,2,2,Laboratory Technician,2,Divorced,3867.2,7858,7,Y,No,14,3,2,80,1,9,3,1,0,0,0,0
45,1,Travel_Rarely,410,Sales,28,3,Marketing,1,2055,3,Male,39,1,3,Sales Executive,1,Divorced,8683.2,16586,4,Y,Yes,13,3,2,80,1,20,3,2,1,2,2,0
42,1,Travel_Frequently,504,Research & Development,10,3,Medical,1,342,1,Male,61,2,3,Manufacturing Director,2,Divorced,8038.400000000001,22573,6,Y,No,11,3,2,80,2,17,5,2,0,0,0,0
44,1,Travel_Rarely,360,Research & Development,23,3,Medical,1,1310,2,Male,93,2,1,Research Scientist,1,Single,3123.2000000000003,22154,0,Y,No,13,3,1,80,0,6,2,2,3,2,0,3
41,1,Travel_Rarely,669,Sales,9,2,Medical,1,118,2,Male,64,1,3,Sales Executive,3,Single,7695.200000000001,13596,1,Y,No,16,3,4,80,0,9,3,2,7,8,4,7
39,1,Travel_Frequently,920,Research & Development,24,3,Life Sciences,1,392,3,Male,43,2,1,Laboratory Technician,2,Divorced,2528.8,19920,3,Y,Yes,22,4,4,80,1,19,0,1,0,0,0,0
24,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,1,1,Human Resources,3,Single,2051.2000000000003,18437,1,Y,No,12,3,3,80,0,1,3,3,0,0,0,0
31,1,Travel_Rarely,1146,Sales,8,3,Technical Degree,1,796,3,Male,38,1,2,Sales Executive,1,Single,4260.8,3064,6,Y,No,17,3,3,80,0,6,2,1,2,3,1,2
31,1,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,1,Female,58,2,1,Human Resources,2,Divorced,2192.8,22808,0,Y,Yes,11,3,2,80,1,8,2,1,5,7,1,0
45,1,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,1,1,Sales Representative,2,Married,2146.4,3810,1,Y,Yes,14,3,3,80,0,3,2,2,1,2,0,2
50,1,Travel_Rarely,725,Research & Development,2,3,Medical,1,787,3,Male,78,2,5,Manager,1,Married,15887.2,21199,5,Y,Yes,13,3,4,80,1,24,2,2,3,2,1,4
33,1,Non-Travel,1366,Research & Development,24,2,Technical Degree,1,1082,1,Male,72,1,3,Healthcare Representative,1,Single,6977.6,12355,1,Y,No,12,3,1,80,0,10,2,1,8,7,1,9
45,1,Travel_Frequently,878,Sales,1,4,Life Sciences,1,2044,1,Male,94,2,2,Sales Executive,2,Divorced,5382.400000000001,14255,7,Y,No,12,3,4,80,2,12,3,2,4,3,0,1
33,1,Travel_Frequently,1009,Research & Development,1,3,Medical,1,1111,1,Male,45,1,1,Laboratory Technician,1,Divorced,2076.8,7160,1,Y,No,15,3,1,80,2,1,2,2,0,0,0,0
41,1,Travel_Rarely,261,Research & Development,21,2,Medical,1,1821,3,Female,66,2,2,Healthcare Representative,1,Married,7140.8,10842,4,Y,No,22,4,4,80,1,13,2,3,7,7,3,7
39,1,Travel_Frequently,296,Sales,6,2,Marketing,1,555,3,Female,33,1,1,Sales Representative,2,Divorced,1880.8,12253,0,Y,No,16,3,4,80,1,3,3,1,0,2,1,0
23,1,Non-Travel,247,Research & Development,8,1,Medical,1,1156,2,Male,80,2,1,Laboratory Technician,2,Single,1523.2,13556,1,Y,No,12,3,4,80,0,0,0,2,0,0,0,0
38,1,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,702,1,Male,70,2,1,Research Scientist,1,Single,2678.4,3164,1,Y,Yes,11,3,1,80,0,10,3,2,8,8,9,7
